144# Number of sensors
#x	z
28	44	42	25	-31.24	0.0303201
28	44	25	41	21.09	0.0304742
28	44	41	24	-16.86	0.0305931
28	44	24	40	12.16	0.0308224
28	44	40	23	-9.95	0.031005
28	44	23	39	6.78	0.0314749
28	44	39	22	-5.68	0.0317606
28	44	22	38	4.52	0.0322124
28	44	38	21	-3.89	0.0325707
28	44	21	37	3.2	0.033125
28	44	37	20	-2.81	0.0335587
28	44	20	36	2.37	0.0342194
28	44	36	19	-2.18	0.0345872
27	43	26	42	95.6	0.0301046
27	43	42	25	-70.47	0.0301419
27	43	25	41	42.14	0.0302373
27	43	41	24	-32.56	0.0303071
27	43	24	40	21.99	0.0304548
27	43	40	23	-17.54	0.0305701
27	43	23	39	12.73	0.0307855
27	43	39	22	-10.42	0.0309597
27	43	22	38	7.27	0.0313755
27	43	38	21	-6.15	0.031626
27	43	21	37	4.95	0.0320202
27	43	37	20	-4.26	0.0323474
27	43	20	36	3.54	0.0328249
27	43	36	19	-3.23	0.033096
27	43	19	35	2.84	0.0335211
27	43	35	18	-2.7	0.0337037
26	42	25	41	99.73	0.0301003
26	42	41	24	-72.49	0.030138
26	42	24	40	43.48	0.03023
26	42	40	23	-33.27	0.0303006
26	42	23	39	22.69	0.0304407
26	42	39	22	-18.01	0.0305552
26	42	22	38	13.38	0.0307474
26	42	38	21	-11.05	0.030905
26	42	21	37	7.8	0.0312821
26	42	37	20	-6.55	0.0315267
26	42	20	36	5.31	0.0318832
26	42	36	19	-4.77	0.0320964
26	42	19	35	4.14	0.0324155
26	42	35	18	-3.91	0.0325575
26	42	18	34	3.65	0.0327397
26	42	34	17	-3.44	0.032907
25	41	24	40	102.92	0.0300972
25	41	40	23	-74.55	0.0301341
25	41	23	39	44.85	0.030223
25	41	39	22	-34.66	0.0302885
25	41	22	38	23.81	0.03042
25	41	38	21	-19.2	0.0305208
25	41	21	37	14.36	0.0306964
25	41	37	20	-11.77	0.0308496
25	41	20	36	8.2	0.0312195
25	41	36	19	-7.24	0.0313812
25	41	19	35	6.14	0.0316287
25	41	35	18	-5.74	0.0317422
25	41	18	34	5.32	0.0318797
25	41	34	17	-4.97	0.0320121
25	41	17	33	4.83	0.0320704
24	40	23	39	105.76	0.0300946
24	40	39	22	-76.76	0.0301303
24	40	22	38	47.07	0.0302124
24	40	38	21	-36.73	0.0302723
24	40	21	37	25.57	0.0303911
24	40	37	20	-20.33	0.0304919
24	40	20	36	14.92	0.0306702
24	40	36	19	-12.94	0.0307728
24	40	19	35	9.46	0.0310571
24	40	35	18	-8.75	0.0311429
24	40	18	34	7.99	0.0312516
24	40	34	17	-7.4	0.0313514
24	40	17	33	7.11	0.0314065
23	39	22	38	115.47	0.0300866
23	39	38	21	-85.93	0.0301164
23	39	21	37	52.43	0.0301907
23	39	37	20	-39.96	0.0302503
23	39	20	36	26.56	0.0303765
23	39	36	19	-22.53	0.0304439
23	39	19	35	17.77	0.0305627
23	39	35	18	-15.9	0.0306289
23	39	18	34	12.62	0.0307924
23	39	34	17	-11.55	0.0308658
23	39	17	33	10.92	0.0309158
22	38	21	37	127.24	0.0300786
22	38	37	20	-90.99	0.0301099
22	38	20	36	51.34	0.0301948
22	38	36	19	-42.11	0.0302375
22	38	19	35	29.9	0.0303344
22	38	35	18	-26.89	0.0303719
22	38	18	34	23.39	0.0304275
22	38	34	17	-21.09	0.0304742
22	38	17	33	17.29	0.0305784
21	37	20	36	116.32	0.030086
21	37	36	19	-88.66	0.0301128
21	37	19	35	53.98	0.0301853
21	37	35	18	-47.07	0.0302124
21	37	18	34	39.28	0.0302546
21	37	34	17	-34.64	0.0302887
21	37	17	33	31.36	0.0303189
18	34	17	33	380.57	0.0300263
48	64	47	63	59.76	0.0301673
48	64	63	46	-44.24	0.030226
48	64	46	62	27.11	0.0303689
48	64	62	45	-18.17	0.0305504
48	64	45	61	12.5	0.0308
48	64	61	44	-9	0.0311111
48	64	44	60	6.63	0.0315083
48	64	60	43	-5.11	0.0319569
48	64	43	59	3.69	0.03271
48	64	59	42	-2.95	0.0333898
48	64	42	58	2.32	0.0343103
48	64	58	41	-1.9	0.0352632
48	64	41	57	1.54	0.0364935
48	64	57	40	-1.3	0.0376923
48	64	40	56	1.07	0.0393458
48	64	56	39	-0.91	0.040989
47	63	46	62	81.6	0.0301225
47	63	62	45	-52.88	0.0301891
47	63	45	61	32.96	0.0303034
47	63	61	44	-23.01	0.0304346
47	63	44	60	16.12	0.0306203
47	63	60	43	-12.1	0.0308264
47	63	43	59	8.84	0.0311312
47	63	59	42	-6.97	0.0314347
47	63	42	58	4.78	0.0320921
47	63	58	41	-3.83	0.032611
47	63	41	57	3.03	0.0333003
47	63	57	40	-2.5	0.034
47	63	40	56	2.02	0.0349505
47	63	56	39	-1.69	0.0359172
47	63	39	55	1.39	0.0371942
47	63	55	38	-1.2	0.0383333
46	62	45	61	80.49	0.0301242
46	62	61	44	-55.63	0.0301798
46	62	44	60	33.96	0.0302945
46	62	60	43	-25.32	0.0303949
46	62	43	59	17.19	0.0305817
46	62	59	42	-13.44	0.030744
46	62	42	58	9.74	0.0310267
46	62	58	41	-7.83	0.0312771
46	62	41	57	5.42	0.031845
46	62	57	40	-4.48	0.0322321
46	62	40	56	3.46	0.0328902
46	62	56	39	-2.91	0.0334364
46	62	39	55	2.32	0.0343103
46	62	55	38	-2.01	0.0349751
46	62	38	54	1.64	0.0360976
46	62	54	37	-1.47	0.0368027
45	61	44	60	86.81	0.0301152
45	61	60	43	-60.42	0.0301655
45	61	43	59	36.74	0.0302722
45	61	59	42	-27.39	0.0303651
45	61	42	58	18.9	0.0305291
45	61	58	41	-14.67	0.0306817
45	61	41	57	10.78	0.0309276
45	61	57	40	-8.67	0.0311534
45	61	40	56	6.04	0.0316556
45	61	56	39	-4.95	0.0320202
45	61	39	55	3.9	0.0325641
45	61	55	38	-3.3	0.0330303
45	61	38	54	2.66	0.0337594
45	61	54	37	-2.34	0.0342735
45	61	37	53	1.95	0.0351282
45	61	53	36	-1.72	0.035814
44	60	43	59	89.55	0.0301117
44	60	59	42	-62.07	0.0301611
44	60	42	58	38.63	0.0302589
44	60	58	41	-28.49	0.030351
44	60	41	57	20	0.0305
44	60	57	40	-15.49	0.0306456
44	60	40	56	11.33	0.0308826
44	60	56	39	-9	0.0311111
44	60	39	55	6.47	0.0315456
44	60	55	38	-5.33	0.0318762
44	60	38	54	4.23	0.0323641
44	60	54	37	-3.64	0.0327473
44	60	37	53	3	0.0333333
44	60	53	36	-2.6	0.0338462
44	60	36	52	2.25	0.0344444
44	60	52	35	-2.03	0.0349261
43	59	42	58	92.59	0.030108
43	59	58	41	-64.01	0.0301562
43	59	41	57	40.07	0.0302496
43	59	57	40	-29.64	0.0303374
43	59	40	56	20.4	0.0304902
43	59	56	39	-15.7	0.0306369
43	59	39	55	11.79	0.0308482
43	59	55	38	-9.51	0.0310515
43	59	38	54	6.74	0.0314837
43	59	54	37	-5.68	0.0317606
43	59	37	53	4.59	0.0321786
43	59	53	36	-3.89	0.0325707
43	59	36	52	3.32	0.033012
43	59	52	35	-2.96	0.0333784
43	59	35	51	2.56	0.0339062
43	59	51	34	-2.41	0.0341494
42	58	41	57	94.72	0.0301056
42	58	57	40	-65.53	0.0301526
42	58	40	56	39.77	0.0302514
42	58	56	39	-29.2	0.0303425
42	58	39	55	21.09	0.0304742
42	58	55	38	-16.55	0.0306042
42	58	38	54	12.17	0.0308217
