50# Number of sensors
#x	y	z
34	37	43	40	5.5	-9.06	0.0201587	58.4853	321.669
35	38	44	41	4.657	-8.63	0.0201882	56.8277	264.647
36	39	45	42	4.294	-7.41	0.0201945	56.9204	244.416
37	40	46	43	3.993	-7.74	0.0202146	56.966	227.465
38	41	47	44	4.111	-6.99	0.0202107	56.6627	232.941
39	42	48	45	4.317	-7.24	0.0202044	56.0763	242.081
40	43	49	46	4.229	-6.65	0.0202035	57.6134	243.647
41	44	50	47	4.283	-6.86	0.0202136	56.3017	241.14
1	5	13	9	22.037	-9.7	0.0200436	73.8986	1628.5
2	6	14	10	18.349	-9.82	0.0200499	72.1833	1324.49
3	7	15	11	13.262	-9.59	0.0200669	74.3204	985.637
4	8	16	12	12.261	-10.51	0.0200699	73.7078	903.732
5	9	17	13	11.432	-10.33	0.0200743	73.5541	840.871
6	10	18	14	10.104	-11.88	0.0200855	75.4482	762.329
7	11	19	15	9.438	-11.37	0.0200942	75.1184	708.968
8	12	20	16	8.53	-11.14	0.0201084	78.7812	672.004
9	13	21	17	6.958	-9.75	0.0201242	81.5985	567.762
10	14	22	18	6.945	-8.82	0.0201308	80.8826	561.729
11	15	23	19	5.436	-7.57	0.0201645	81.7902	444.612
12	16	24	20	5.504	-7.47	0.0201574	75.0927	413.31
13	17	25	21	5.271	-6.22	0.0201726	68.3166	360.097
14	18	26	22	4.634	-7.06	0.0201952	65.6202	304.084
15	19	27	23	4.938	-7.06	0.0201935	69.1392	341.409
16	20	28	24	4.743	-8.13	0.0202012	77.1256	365.807
17	21	29	25	4.993	-8.83	0.0201914	85.0274	424.542
18	22	30	26	5.557	-9.73	0.0201665	84.7281	470.834
19	23	31	27	5.99	-10.56	0.0201525	78.125	467.969
20	24	32	28	6.942	-10.66	0.0201326	75.9829	527.473
21	25	33	29	7.535	-9.3	0.0201177	76.8966	579.416
22	26	34	30	7.725	-8.02	0.0201178	77.2532	596.781
23	27	35	31	7.495	-7.91	0.0201196	79.2451	593.942
24	28	36	32	7.778	-10.18	0.0201138	74.6808	580.867
25	29	37	33	8.346	-8.57	0.0201121	70.5189	588.551
26	30	38	34	8.182	-7.8	0.0201171	70.6124	577.751
27	31	39	35	7.93	-8.28	0.0201207	68.644	544.347
28	32	40	36	7.028	-9.66	0.020139	72.0684	506.496
29	33	41	37	5.934	-8.52	0.0201568	76.7449	455.404
30	34	42	38	5.633	-8.42	0.0201585	78.539	442.41
31	35	43	39	4.882	-8.2	0.0201851	81.7644	399.174
32	36	44	40	3.796	-7.02	0.020235	81.0234	307.565
33	37	45	41	3.196	-7.43	0.02028	78.2501	250.087
34	38	46	42	2.97	-6.95	0.0203032	77.2606	229.464
35	39	47	43	2.724	-6.82	0.0203336	75.9677	206.936
36	40	48	44	2.779	-7.05	0.0203228	75.1232	208.767
37	41	49	45	2.968	-6.6	0.0203077	74.9336	222.403
38	42	50	46	3.059	-6.77	0.0202976	75.6545	231.427
1	6	16	11	11.485	-10.2	0.0200786	90.9501	1044.56
2	7	17	12	7.87	-10.19	0.020111	91.3193	718.683
3	8	18	13	7.482	-11.17	0.0201167	90.9858	680.756
4	9	19	14	6.463	-10.59	0.0201322	92.9138	600.502
5	10	20	15	6.03	-11.23	0.0201462	95.1741	573.9
6	11	21	16	5.117	-11.05	0.0201796	99.3029	508.133
7	12	22	17	4.922	-10.16	0.0201845	102.106	502.564
8	13	23	18	4.129	-9.25	0.0202211	102.067	421.435
9	14	24	19	3.618	-8.08	0.0202541	100.554	363.803
10	15	25	20	3.334	-6.58	0.0202725	96.4365	321.519
11	16	26	21	3.529	-6.46	0.0202573	87.8534	310.034
12	17	27	22	3.122	-5.52	0.0203008	84.6929	264.411
13	18	28	23	3.385	-5.74	0.0202779	87.7199	296.932
14	19	29	24	3.49	-6.88	0.0202782	91.2105	318.325
15	20	30	25	3.631	-8.96	0.0202655	96.862	351.706
16	21	31	26	3.619	-9.28	0.0202608	102.703	371.682
17	22	32	27	4.347	-9.95	0.0202169	103.597	450.334
18	23	33	28	4.335	-9.59	0.0202141	100.241	434.543
19	24	34	29	4.723	-9.9	0.020189	97.8299	462.051
20	25	35	30	4.776	-9.61	0.0201877	95.8382	457.723
21	26	36	31	5.054	-8.87	0.0201787	95.9768	485.067
22	27	37	32	5.078	-8.04	0.0201763	92.2896	468.647
23	28	38	33	5.652	-9.77	0.0201646	87.7721	496.088
24	29	39	34	6.007	-7.95	0.0201632	86.655	520.537
25	30	40	35	6.139	-7.65	0.0201557	86.3045	529.823
26	31	41	36	5.768	-7.45	0.02017	86.2267	497.356
27	32	42	37	5.106	-7.23	0.0201912	91.522	467.311
28	33	43	38	4.533	-8.96	0.0202076	96.7846	438.725
29	34	44	39	3.917	-7.51	0.0202331	99.467	389.612
30	35	45	40	3.314	-6.52	0.0202813	101.543	336.512
31	36	46	41	2.844	-6.45	0.0203268	100.96	287.132
32	37	47	42	2.589	-6.25	0.0203535	99.18	256.777
33	38	48	43	2.407	-6.86	0.0203915	97.0582	233.619
34	39	49	44	2.432	-6.17	0.0203874	94.2798	229.288
35	40	50	45	2.559	-5.99	0.020364	92.6496	237.09
1	7	19	13	5.075	-10.74	0.0201758	109.803	557.249
2	8	20	14	4.515	-11.06	0.020196	112.174	506.466
3	9	21	15	4.197	-10.07	0.0202104	114.14	479.045
4	10	22	16	3.793	-10.24	0.0202429	118.388	449.044
5	11	23	17	3.346	-9.64	0.020273	119.94	401.318
6	12	24	18	3.175	-10.5	0.0202992	121.523	385.835
7	13	25	19	2.7	-8.38	0.0203455	122.506	330.766
8	14	26	20	2.746	-8.11	0.0203431	116.378	319.573
9	15	27	21	2.691	-7.08	0.020354	109.3	294.126
10	16	28	22	2.695	-7.21	0.0203536	103.913	280.045
11	17	29	23	2.863	-6.17	0.0203409	107.319	307.255
12	18	30	24	2.986	-6.58	0.0203234	110.583	330.199
13	19	31	25	3.207	-7.08	0.0203077	111.06	356.169
14	20	32	26	3.144	-8.4	0.0203084	114.94	361.372
15	21	33	27	3.356	-9.82	0.0202855	121.677	408.348
16	22	34	28	3.634	-9.66	0.020262	125.192	454.949
17	23	35	29	3.637	-9.66	0.0202546	120.756	439.188
18	24	36	30	3.729	-10.09	0.0202465	114.963	428.698
19	25	37	31	3.77	-9.87	0.0202407	113.869	429.286
20	26	38	32	4.008	-9.51	0.0202293	110.363	442.335
21	27	39	33	4.278	-8.24	0.0202197	105.86	452.871
22	28	40	34	4.613	-9.74	0.0202098	102.687	473.694
23	29	41	35	4.854	-8.08	0.020201	100.997	490.239
24	30	42	36	4.824	-7.53	0.0202038	103.048	497.102
25	31	43	37	4.568	-6.78	0.0202148	105.801	483.301
26	32	44	38	4.189	-5.98	0.0202328	111.604	467.51
27	33	45	39	3.616	-6.66	0.020266	116.483	421.203
28	34	46	40	3.157	-8.33	0.0203002	118.043	372.662
29	35	47	41	2.833	-5.79	0.0203353	120.973	342.718
30	36	48	42	2.568	-5.63	0.0203675	121.89	313.012
31	37	49	43	2.37	-6.27	0.0204026	119.067	282.188
32	38	50	44	2.377	-5.86	0.0204002	114.655	272.534
1	8	22	15	3.104	-10.63	0.0202933	134.704	418.12
2	9	23	16	2.832	-9.13	0.0203261	135.992	385.13
3	10	24	17	2.719	-8.73	0.0203412	137.37	373.509
4	11	25	18	2.538	-9.44	0.0203775	139.067	352.953
5	12	26	19	2.38	-9.33	0.0204026	142.931	340.175
6	13	27	20	2.243	-9.52	0.0204239	139.105	312.013
7	14	28	21	2.449	-8.13	0.0203975	128.68	315.138
8	15	29	22	2.459	-6.87	0.0203992	125.188	307.838
9	16	30	23	2.73	-8.24	0.0203587	127.328	347.605
10	17	31	24	2.793	-7.43	0.020355	130.657	364.926
11	18	32	25	2.88	-8.63	0.0203403	131.539	378.833
12	19	33	26	2.917	-7.69	0.0203344	129.772	378.545
13	20	34	27	3.085	-8.42	0.0203166	133.284	411.18
14	21	35	28	3.087	-9.34	0.0203139	142.718	440.569
15	22	36	29	3.264	-9.6	0.0202907	144.837	472.748
16	23	37	30	3.134	-9.54	0.0203031	136.707	428.441
17	24	38	31	3.206	-10.23	0.0202914	131.396	421.257
18	25	39	32	3.289	-10.08	0.0202817	126.751	416.885
19	26	40	33	3.553	-9.5	0.0202675	124.455	442.187
20	27	41	34	3.666	-9.24	0.0202646	122.761	450.043
21	28	42	35	3.886	-10.19	0.0202492	117.574	456.893
22	29	43	36	3.983	-8.16	0.0202497	116.624	464.512
23	30	44	37	3.969	-7.44	0.0202463	121.494	482.21
24	31	45	38	3.82	-6.5	0.0202566	125.238	478.408
25	32	46	39	3.486	-5.84	0.0202834	130.99	456.63
26	33	47	40	3.089	-5.68	0.0203153	135.116	417.373
27	34	48	41	2.866	-6.14	0.0203352	136.885	392.313
28	35	49	42	2.718	-7.07	0.0203555	140.633	382.241
29	36	50	43	2.568	-5.92	0.0203757	140.095	359.764
1	9	25	17	2.183	-5.44	0.0204241	157.1	342.948
2	10	26	18	2.224	-9.22	0.0204357	158.611	352.75
3	11	27	19	2.09	-7.39	0.0204684	160.594	335.642
4	12	28	20	2.178	-10.64	0.0204484	157.745	343.569
5	13	29	21	2.214	-9.1	0.0204399	150.74	333.739
6	14	30	22	2.337	-9.81	0.0204214	145.697	340.495
7	15	31	23	2.556	-8.4	0.0203883	149.216	381.396
8	16	32	24	2.716	-8.41	0.0203635	151.359	411.092
9	17	33	25	2.741	-8.53	0.0203634	152.243	417.298
10	18	34	26	2.716	-9.1	0.0203595	149.8	406.856
11	19	35	27	2.903	-9.13	0.0203389	148.411	430.839
12	20	36	28	2.895	-9.07	0.0203357	153.909	445.566
13	21	37	29	2.876	-8.1	0.020336	161.031	463.124
14	22	38	30	2.886	-8.85	0.0203369	159.976	461.691
15	23	39	31	2.816	-8.82	0.020339	152.711	430.035
16	24	40	32	2.881	-10.17	0.0203273	144.436	416.12
17	25	41	33	2.982	-10	0.0203189	140.025	417.556
18	26	42	34	3.109	-10.07	0.020315	139.751	434.485
19	27	43	35	3.134	-8.84	0.0203076	138	432.491
20	28	44	36	3.277	-10.27	0.0203009	135.418	443.765
21	29	45	37	3.364	-8.33	0.0202949	135.859	457.03
22	30	46	38	3.402	-7.44	0.0202874	139.264	473.778
23	31	47	39	3.244	-6.95	0.020303	143.314	464.909
24	32	48	40	3.021	-5.6	0.020328	149.536	451.749
25	33	49	41	2.865	-5.32	0.0203435	153.712	440.385
26	34	50	42	2.842	-4.67	0.0203396	155.432	441.737
1	10	28	19	1.914	-8.87	0.0205107	180.875	346.195
2	11	29	20	2.03	-9.19	0.0204861	175.971	357.222
3	12	30	21	2.219	-10.56	0.0204468	169.81	376.808
4	13	31	22	2.24	-10.42	0.0204392	167.111	374.33
5	14	32	23	2.423	-10.07	0.02041	170.261	412.543
6	15	33	24	2.481	-11.26	0.0203997	174.609	433.206
7	16	34	25	2.652	-10.26	0.0203724	172.544	457.587
8	17	35	26	2.648	-10.6	0.020375	170.22	450.742
9	18	36	27	2.733	-4.03	0.020356	168.125	459.486
10	19	37	28	2.751	-10.11	0.0203584	167.989	462.137
11	20	38	29	2.679	-9.01	0.0203646	172.25	461.458
