50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
16	19	17	18	191.217	-7.15	0.0200035	6.36016	1216.17
17	20	18	19	196.927	-6.9	0.0200036	6.037	1188.85
18	21	19	20	182.204	-7.19	0.0200039	6.27517	1143.36
19	22	20	21	158.2	-7.43	0.0200046	6.49955	1028.23
20	23	21	22	175.397	-7.62	0.020004	6.36039	1115.59
21	24	22	23	125.67	-7.52	0.0200056	6.15538	773.547
22	25	23	24	152.94	-8.19	0.0200042	6.42789	983.082
23	26	24	25	141.307	-7.81	0.0200046	6.40438	904.983
24	27	25	26	166.771	-8.74	0.0200036	6.40509	1068.18
25	28	26	27	158.533	-8.24	0.020004	6.41941	1017.69
26	29	27	28	180.763	-9.21	0.0200034	6.2526	1130.24
27	30	28	29	173.18	-8.87	0.0200039	6.3265	1095.62
28	31	29	30	161.187	-9.18	0.0200039	6.53592	1053.51
29	32	30	31	157.267	-7.83	0.0200044	6.06013	953.059
30	33	31	32	139.721	-8.03	0.0200049	6.47702	904.976
31	34	32	33	128.25	-7.08	0.0200052	6.35732	815.326
32	35	33	34	140.203	-8.65	0.0200048	6.12946	859.369
33	36	34	35	115.193	-8.16	0.0200057	6.52476	751.606
34	37	35	36	121.391	-8.29	0.0200058	6.37449	773.805
35	38	36	37	110.907	-8.38	0.0200058	6.31329	700.188
36	39	37	38	96.281	-8.62	0.0200069	6.46837	622.781
37	40	38	39	93.736	-8.24	0.0200071	6.36957	597.058
38	41	39	40	87.855	-8.4	0.0200071	6.41207	563.332
39	42	40	41	82.297	-7.59	0.0200077	6.44217	530.171
40	43	41	42	75.411	-8.29	0.020009	6.30319	475.33
41	44	42	43	75.022	-7.6	0.0200087	6.37092	477.959
42	45	43	44	73.915	-7.82	0.0200102	6.43922	475.955
43	46	44	45	70.795	-7.62	0.0200103	6.46334	457.572
44	47	45	46	72.657	-6.74	0.0200108	6.12783	445.23
45	48	46	47	70.383	-4.07	0.0200105	6.54819	460.881
46	49	47	48	79.375	-7.79	0.0200108	6.42162	509.716
47	50	48	49	79.062	-3.99	0.0200097	6.37116	503.717
1	7	3	5	89.089	-6.54	0.0200085	11.5819	1031.82
2	8	4	6	85.418	-4.44	0.0200087	12.0774	1031.62
3	9	5	7	65.008	-8.25	0.020012	13.0035	845.335
4	10	6	8	71.201	-10.81	0.0200112	12.9783	924.066
5	11	7	9	94.784	-6.71	0.0200084	12.3107	1166.86
6	12	8	10	94.526	-5.91	0.0200082	12.2425	1157.24
7	13	9	11	75.795	-8.27	0.0200096	12.4866	946.42
8	14	10	12	81.67	-8.35	0.0200092	12.7568	1041.85
9	15	11	13	85.278	-7.15	0.0200093	12.7349	1086.01
10	16	12	14	80.187	-7.27	0.0200096	12.3809	992.789
11	17	13	15	74.039	-7.38	0.0200099	12.4908	924.806
12	18	14	16	77.676	-7.59	0.0200096	12.6053	979.133
13	19	15	17	67.555	-7.38	0.0200118	12.7217	859.415
14	20	16	18	64.747	-7.53	0.0200116	12.3311	798.4
15	21	17	19	63.377	-6.85	0.0200118	11.7593	745.272
16	22	18	20	59.98	-6.92	0.0200122	12.1087	726.282
17	23	19	21	54.339	-7.11	0.0200143	14.1624	769.571
18	24	20	22	57.254	-7.07	0.0200129	13.9538	798.911
19	25	21	23	54.394	-6.72	0.0200137	11.8575	644.978
20	26	22	24	50.167	-7.66	0.0200143	11.2	561.872
21	27	23	25	54.831	-8.01	0.0200126	12.4212	681.068
22	28	24	26	57.496	-8.1	0.0200118	13.5989	781.88
23	29	25	27	55.091	-7.81	0.0200118	13.5135	744.475
24	30	26	28	60.223	-8.04	0.0200117	12.4098	747.355
25	31	27	29	65.833	-8.49	0.0200109	12.1384	799.11
26	32	28	30	64.921	-8.3	0.0200107	12.557	815.213
27	33	29	31	61.088	-8	0.0200112	12.5457	766.393
28	34	30	32	57.461	-8.07	0.0200132	12.7424	732.189
29	35	31	33	57.988	-8.18	0.020013	12.9199	749.201
30	36	32	34	55.468	-8.1	0.0200124	12.5295	694.984
31	37	33	35	50.505	-8.02	0.0200148	12.4947	631.044
32	38	34	36	44.455	-7.63	0.0200181	12.9045	573.669
33	39	35	37	43.433	-7.42	0.0200179	12.547	544.955
34	40	36	38	38.909	-7.89	0.0200177	12.2802	477.81
35	41	37	39	35.375	-7.53	0.0200211	12.5535	444.079
36	42	38	40	33.949	-7.36	0.0200223	12.9058	438.14
37	43	39	41	30.518	-6.8	0.0200259	12.9418	394.958
38	44	40	42	27.028	-6.57	0.0200286	12.5819	340.064
39	45	41	43	26.313	-6.48	0.0200293	12.4052	326.419
40	46	42	44	26.557	-6.5	0.0200307	12.9353	343.522
41	47	43	45	26.749	-6.24	0.0200358	12.8271	343.113
42	48	44	46	28.197	-4.57	0.0200332	12.1253	341.897
43	49	45	47	28.654	-5.07	0.0200304	12.4949	358.028
44	50	46	48	28.489	-6.53	0.0200339	13.3814	381.224
1	10	4	7	40.042	-7.48	0.0200202	18.2539	730.921
2	11	5	8	41.874	-8.58	0.0200204	19.2813	807.383
3	12	6	9	44.526	-8.69	0.02002	19.3421	861.227
4	13	7	10	50.252	-7.96	0.0200164	18.8392	946.709
5	14	8	11	52.234	-6.55	0.0200151	18.6299	973.116
6	15	9	12	48.117	-7.55	0.0200158	18.8111	905.132
7	16	10	13	39.021	-7.97	0.0200205	19.1915	748.871
8	17	11	14	42.113	-7.9	0.0200188	18.9689	798.838
9	18	12	15	42.05	-6.55	0.0200202	18.898	794.662
10	19	13	16	38.63	-7.32	0.0200213	18.6667	721.093
11	20	14	17	34.855	-7.8	0.0200249	18.574	647.395
12	21	15	18	32.797	-7.65	0.0200251	17.8522	585.499
13	22	16	19	27.524	-7.18	0.0200309	17.7061	487.342
14	23	17	20	26.421	-7.31	0.0200297	18.9474	500.61
15	24	18	21	25.801	-6.53	0.0200319	20.888	538.932
16	25	19	22	26.66	-6.67	0.0200309	21.3644	569.574
17	26	20	23	26.012	-6.71	0.0200332	19.3893	504.355
18	27	21	24	27.816	-7.01	0.0200288	17.3717	483.211
19	28	22	25	26.293	-6.75	0.0200308	17.0003	446.989
20	29	23	26	27.055	-7.52	0.0200277	18.6486	504.539
21	30	24	27	26.378	-6.92	0.0200294	20.0685	529.366
22	31	25	28	28.825	-7.34	0.0200274	19.9288	574.447
23	32	26	29	30.314	-7.11	0.0200277	18.6182	564.393
24	33	27	30	32.516	-7.36	0.0200249	18.0841	588.022
25	34	28	31	31.815	-7.07	0.0200262	18.3878	585.009
26	35	29	32	30.993	-7.58	0.0200254	19.2589	596.891
27	36	30	33	28.648	-6.93	0.0200276	19.5854	561.082
28	37	31	34	28.329	-7.3	0.0200283	19.6619	557.003
29	38	32	35	28.212	-7.27	0.0200289	19.4398	548.437
30	39	33	36	26.953	-6.96	0.0200313	19.0925	514.599
31	40	34	37	24.195	-6.62	0.0200366	18.5886	449.75
32	41	35	38	23.203	-6.48	0.0200391	18.3159	424.984
33	42	36	39	21.711	-6.2	0.0200404	18.4331	400.201
34	43	37	40	21.324	-6.11	0.0200419	18.7986	400.862
35	44	38	41	20.623	-6.09	0.0200429	19.1938	395.834
36	45	39	42	19.026	-5.84	0.0200477	19.218	365.642
37	46	40	43	17.479	-5.65	0.0200519	19.2438	336.362
38	47	41	44	17.23	-6.01	0.020056	19.0855	328.844
39	48	42	45	18.134	-5.62	0.0200541	18.9906	344.376
40	49	43	46	19.504	-5.49	0.0200525	18.8276	367.213
41	50	44	47	19.935	-4.97	0.0200503	19.2942	384.63
1	13	5	9	25.486	-7.5	0.0200362	24.9143	634.966
2	14	6	10	25.241	-9.53	0.0200369	25.7565	650.119
3	15	7	11	28.177	-8.66	0.0200312	25.4908	718.254
4	16	8	12	30.265	-7.17	0.0200277	25.6427	776.075
5	17	9	13	29.701	-7.25	0.0200269	25.4783	756.732
6	18	10	14	27.203	-6.85	0.0200295	25.063	681.788
7	19	11	15	23.77	-7.12	0.0200365	25.4787	605.629
8	20	12	16	24.063	-7.25	0.0200371	24.5772	591.402
9	21	13	17	22.886	-6.75	0.0200393	23.6952	542.289
10	22	14	18	20.587	-7.47	0.0200442	23.5874	485.594
11	23	15	19	18.886	-7.67	0.0200471	24.0175	453.594
12	24	16	20	17.301	-7.56	0.0200518	25.7448	445.411
13	25	17	21	16.314	-7.44	0.0200544	27.4209	447.344
14	26	18	22	16.758	-6.97	0.020053	27.4636	460.236
15	27	19	23	16.427	-7.01	0.0200564	26.5787	436.608
16	28	20	24	17.545	-6.29	0.0200516	25.0804	440.035
17	29	21	25	17.748	-6.35	0.0200496	23.913	424.407
18	30	22	26	17.344	-6.71	0.0200506	23.5045	407.662
19	31	23	27	17.646	-6.46	0.0200499	24.3777	430.169
20	32	24	28	18.683	-6.54	0.0200481	24.9148	465.484
21	33	25	29	20.168	-6.35	0.0200463	25.2433	509.108
22	34	26	30	20.786	-6.75	0.0200446	25.3017	525.921
23	35	27	31	21.457	-6.18	0.0200436	24.4728	525.113
24	36	28	32	20.56	-7.46	0.0200444	25.1005	516.067
25	37	29	33	19.47	-6.92	0.020045	26.157	509.276
26	38	30	34	19.079	-6.56	0.0200457	26.4266	504.192
27	39	31	35	17.872	-6.64	0.0200486	26.9916	482.395
28	40	32	36	18.07	-6.31	0.0200502	26.0094	469.991
29	41	33	37	18.371	-6.47	0.0200512	24.8582	456.671
30	42	34	38	17.741	-6.27	0.0200535	24.6532	437.372
31	43	35	39	17.843	-5.73	0.0200549	24.0582	429.27
32	44	36	40	16.882	-5.94	0.0200589	24.2718	409.757
33	45	37	41	16.515	-5.54	0.0200591	24.8858	410.988
34	46	38	42	16.337	-5.66	0.0200592	25.3397	413.974
35	47	39	43	15.771	-6.17	0.0200612	25.6482	404.498
36	48	40	44	15.395	-5.68	0.0200649	25.668	395.158
37	49	41	45	15.672	-5.76	0.020065	25.6413	401.85
38	50	42	46	16.443	-5.49	0.0200622	25.7013	422.607
1	16	6	11	15.548	-8.82	0.0200621	31.8257	494.826
2	17	7	12	17.812	-7.75	0.020052	32.2802	574.975
3	18	8	13	19.202	-7.29	0.0200471	32.3539	621.259
4	19	9	14	18.954	-7.6	0.0200455	31.9312	605.225
5	20	10	15	18.797	-6.77	0.0200457	31.0627	583.885
6	21	11	16	18.518	-6.47	0.0200473	29.8741	553.208
7	22	12	17	15.488	-6.54	0.0200601	29.5086	457.029
8	23	13	18	15.113	-7.13	0.0200607	29.8282	450.793
9	24	14	19	14.81	-7.17	0.020065	30.4956	451.64
10	25	15	20	13.95	-7.92	0.0200676	31.5327	439.881
11	26	16	21	12.785	-7.97	0.0200745	33.1552	423.889
12	27	17	22	13.169	-7.76	0.0200708	33.7221	444.086
13	28	18	23	12.894	-7.24	0.0200748	33.0233	425.802
14	29	19	24	12.866	-6.69	0.0200734	32.3921	416.756
15	30	20	25	13.229	-6.89	0.0200727	31.449	416.038
16	31	21	26	13.791	-6.59	0.0200682	30.2291	416.889
17	32	22	27	13.748	-5.66	0.0200693	29.4892	405.418
18	33	23	28	14.996	-6.23	0.0200638	29.5861	443.673
19	34	24	29	15.914	-6.23	0.0200621	30.0454	478.143
20	35	25	30	16.457	-6.45	0.0200589	30.7765	506.49
21	36	26	31	16.323	-6.56	0.0200595	31.2895	510.739
22	37	27	32	16.461	-6.04	0.020059	32.2879	531.49
23	38	28	33	15.861	-6.7	0.0200608	32.8967	521.775
24	39	29	34	15.235	-6.86	0.0200607	33.0411	503.382
25	40	30	35	14.469	-6.9	0.0200648	33.1642	479.853
26	41	31	36	14.182	-6.48	0.0200668	33.2699	471.833
27	42	32	37	14.113	-6.44	0.0200673	32.2554	455.221
28	43	33	38	14.579	-6.23	0.020067	31.0026	451.987
29	44	34	39	15.007	-6.07	0.0200667	30.3483	455.437
30	45	35	40	15.364	-5.99	0.0200649	30.0344	461.448
31	46	36	41	14.908	-6.2	0.0200669	30.2085	450.349
32	47	37	42	14.701	-5.68	0.0200694	30.7298	451.759
33	48	38	43	14.764	-5.89	0.0200675	31.2494	461.365
34	49	39	44	14.649	-5.84	0.0200687	31.9354	467.821
35	50	40	45	14.559	-5.81	0.0200701	32.6474	475.314
1	19	7	13	12.577	-6.61	0.0200785	38.2557	481.141
2	20	8	14	13.328	-6.55	0.0200713	37.8107	503.941
3	21	9	15	13.525	-7.04	0.0200681	37.0467	501.057
4	22	10	16	13.521	-6.76	0.0200673	35.9969	486.715
5	23	11	17	13.986	-6.53	0.0200654	36.0252	503.849
6	24	12	18	13.01	-5.98	0.0200715	36.0997	469.658
7	25	13	19	11.513	-7.18	0.0200821	36.2839	417.736
8	26	14	20	11.339	-7.29	0.0200867	37.3334	423.323
9	27	15	21	11.314	-7.31	0.020087	38.6372	437.141
10	28	16	22	11.128	-7.3	0.0200886	39.6939	441.714
11	29	17	23	10.732	-7.19	0.0200901	39.0496	419.08
12	30	18	24	10.965	-7.03	0.0200896	38.3956	421.007
13	31	19	25	10.926	-6.38	0.020091	38.5339	421.022
14	32	20	26	11.401	-6.38	0.0200861	37.4793	427.302
15	33	21	27	11.919	-6.14	0.0200827	35.9694	428.72
16	34	22	28	12.625	-5.6	0.0200782	34.8899	440.485
17	35	23	29	13.706	-5.63	0.0200735	35.3395	484.363
18	36	24	30	13.95	-7.04	0.0200703	36.3515	507.103
19	37	25	31	14.177	-6.61	0.0200695	36.8851	522.92
20	38	26	32	13.962	-6.44	0.0200707	38.132	532.399
21	39	27	33	13.73	-6.62	0.0200715	39.6182	543.958
22	40	28	34	13.529	-6.08	0.020072	40.3656	546.107
23	41	29	35	12.915	-7.21	0.0200741	40.3917	521.659
24	42	30	36	12.783	-6.45	0.020077	39.6893	507.349
25	43	31	37	12.425	-5.62	0.0200788	39.1094	485.934
26	44	32	38	12.49	-5.68	0.0200785	38.0376	475.09
27	45	33	39	12.847	-6.5	0.0200769	37.084	476.419
28	46	34	40	13.243	-5.85	0.0200759	36.7365	486.502
29	47	35	41	13.817	-5.69	0.0200747	36.0707	498.388
30	48	36	42	13.725	-5.98	0.0200737	35.9439	493.331
31	49	37	43	13.905	-5.79	0.0200727	36.554	508.283
32	50	38	44	13.907	-5.02	0.0200735	37.9189	527.338
1	22	8	15	10.36	-5.69	0.0200949	42.2544	437.756
2	23	9	16	10.518	-6.07	0.0200906	42.7553	449.701
3	24	10	17	10.57	-7	0.0200907	43.0299	454.826
4	25	11	18	10.809	-6.91	0.0200882	42.7962	462.585
5	26	12	19	10.668	-5.98	0.02009	41.9883	447.931
6	27	13	20	10.196	-6.3	0.0200939	42.5658	434.001
7	28	14	21	9.411	-8.16	0.0201062	44.6774	420.459
8	29	15	22	9.567	-8.76	0.0201036	45.2912	433.301
9	30	16	23	9.401	-7.65	0.020108	44.6343	419.607
10	31	17	24	9.489	-8.33	0.020105	44.1302	418.751
11	32	18	25	9.663	-7.72	0.0201039	43.8439	423.664
12	33	19	26	10.036	-7.61	0.0201001	44.1165	442.753
13	34	20	27	10.394	-7.18	0.0200971	43.4352	451.466
14	35	21	28	11.227	-7.27	0.0200892	41.4434	465.284
15	36	22	29	11.801	-6.98	0.0200858	40.9126	482.81
16	37	23	30	12.458	-7.29	0.0200797	42.1424	525.01
17	38	24	31	12.727	-6.99	0.0200782	43.3125	551.239
18	39	25	32	12.525	-7.76	0.0200788	44.4798	557.109
19	40	26	33	12.273	-7.59	0.0200806	44.9172	551.268
20	41	27	34	12.375	-7.92	0.0200795	45.585	564.114
21	42	28	35	12.172	-7.72	0.0200807	47.3351	576.163
22	43	29	36	12.067	-7.27	0.0200817	47.6715	575.252
23	44	30	37	11.734	-7.26	0.0200845	46.0702	540.587
24	45	31	38	11.548	-7.11	0.0200858	45.0324	520.035
25	46	32	39	11.676	-7.23	0.0200854	44.0936	514.836
26	47	33	40	12.001	-8.33	0.0200839	43.3088	519.749
27	48	34	41	12.152	-7.61	0.0200835	42.9308	521.695
28	49	35	42	12.583	-7.89	0.0200815	42.2752	531.949
29	50	36	43	12.749	-7.31	0.0200797	42.5304	542.22
1	25	9	17	8.704	-8.07	0.020113	48.6803	423.713
2	26	10	18	8.61	-8.33	0.020114	48.7379	419.633
3	27	11	19	8.949	-7.75	0.0201104	48.5678	434.633
4	28	12	20	8.781	-8.37	0.0201135	49.1329	431.436
5	29	13	21	8.619	-7.85	0.0201135	50.0937	431.758
6	30	14	22	8.598	-8.05	0.020117	50.6271	435.292
7	31	15	23	8.176	-8.06	0.0201239	50.0054	408.845
8	32	16	24	8.346	-8.17	0.0201222	49.3908	412.216
9	33	17	25	8.689	-7.47	0.020117	49.1688	427.228
10	34	18	26	9.023	-7.25	0.0201128	49.6388	447.891
11	35	19	27	9.277	-7.36	0.0201098	49.8429	462.393
12	36	20	28	9.943	-7.26	0.0201016	48.9863	487.071
13	37	21	29	10.729	-7.19	0.0200956	48.0007	515
14	38	22	30	11.148	-7.27	0.0200898	48.0048	535.158
15	39	23	31	11.498	-7.05	0.0200869	49.3035	566.892
16	40	24	32	11.527	-7.53	0.020086	50.8299	585.916
17	41	25	33	11.468	-6.99	0.0200864	51.8035	594.083
18	42	26	34	11.534	-7.69	0.0200854	51.883	598.418
19	43	27	35	11.686	-7.46	0.0200845	52.1588	609.528
20	44	28	36	11.643	-7.96	0.0200856	52.9642	616.662
21	45	29	37	11.327	-7.72	0.0200865	53.4691	605.644
22	46	30	38	11.161	-7.14	0.0200893	53.0617	592.222
23	47	31	39	11.042	-8.16	0.020091	51.7789	571.743
24	48	32	40	11.21	-7.61	0.0200898	50.2232	563.002
25	49	33	41	11.379	-7.86	0.020089	49.5448	563.771
26	50	34	42	11.396	-7.51	0.0200895	49.6658	565.991
1	28	10	19	7.481	-7.62	0.0201338	54.1066	404.772
2	29	11	20	7.475	-8.04	0.0201348	55.4458	414.458
3	30	12	21	7.367	-7.66	0.0201392	56.425	415.683
4	31	13	22	7.451	-8.14	0.0201361	56.4461	420.58
5	32	14	23	7.572	-7.02	0.0201356	55.1501	417.597
6	33	15	24	7.76	-7.62	0.0201313	54.1025	419.835
7	34	16	25	7.671	-7.21	0.020134	54.6529	419.242
8	35	17	26	8.052	-7.24	0.0201268	55.0805	443.508
9	36	18	27	8.391	-6.93	0.0201223	55.5206	465.873
10	37	19	28	8.973	-6.99	0.0201141	55.9118	501.697
11	38	20	29	9.686	-7	0.0201062	55.5331	537.893
12	39	21	30	10.214	-7.54	0.0200988	55.1264	563.061
13	40	22	31	10.495	-7.01	0.0200961	55.0862	578.129
14	41	23	32	10.744	-7.36	0.0200925	56.7367	609.58
15	42	24	33	10.847	-7.32	0.0200915	58.5322	634.899
16	43	25	34	11.042	-7.49	0.0200896	58.8433	649.748
17	44	26	35	11.089	-7.8	0.0200889	58.9174	653.335
18	45	27	36	11.326	-7.82	0.0200877	58.7149	665.005
19	46	28	37	11.201	-7.33	0.0200883	58.7802	658.397
20	47	29	38	10.884	-9.11	0.0200908	58.9514	641.627
21	48	30	39	10.731	-8.09	0.0200932	58.933	632.411
22	49	31	40	10.695	-7.96	0.0200939	59.0163	631.179
23	50	32	41	10.661	-7.23	0.0200951	57.8991	617.263
1	31	11	21	6.473	-7.54	0.0201594	61.8164	400.138
2	32	12	22	6.569	-7.64	0.0201588	62.0163	407.385
3	33	13	23	6.66	-7.59	0.0201563	60.6959	404.235
4	34	14	24	6.895	-7.59	0.0201517	60.0513	414.054
5	35	15	25	7.19	-7.55	0.0201437	59.5866	428.428
6	36	16	26	7.363	-7.09	0.0201391	60.4268	444.922
7	37	17	27	7.529	-6.32	0.0201358	61.4822	462.899
8	38	18	28	8.142	-7.18	0.020126	61.9011	503.998
9	39	19	29	8.779	-7.05	0.0201184	62.5071	548.75
10	40	20	30	9.325	-6.92	0.0201091	62.566	583.428
11	41	21	31	9.819	-7.11	0.0201029	61.7743	606.561
12	42	22	32	10.096	-7.29	0.0200995	62.6164	632.176
13	43	23	33	10.347	-7.15	0.0200971	64.4896	667.274
14	44	24	34	10.571	-7.86	0.0200935	65.414	691.491
15	45	25	35	10.689	-7.45	0.0200919	66.1485	707.061
16	46	26	36	10.857	-7.95	0.0200916	65.8854	715.318
17	47	27	37	10.951	-9.11	0.0200906	65.1271	713.207
18	48	28	38	10.801	-8.12	0.0200916	64.8871	700.845
19	49	29	39	10.6	-8.07	0.020093	64.8831	687.761
20	50	30	40	10.338	-8.08	0.0200971	65.4241	676.355
1	34	12	23	6	-7.85	0.020177	65.807	394.842
2	35	13	24	6.172	-7.37	0.020171	65.2842	402.934
3	36	14	25	6.385	-7.42	0.0201651	65.7637	419.901
4	37	15	26	6.707	-7.58	0.0201549	66.4294	445.542
5	38	16	27	7.011	-6.54	0.0201469	67.2219	471.292
6	39	17	28	7.501	-7.46	0.0201362	67.6037	507.096
7	40	18	29	7.999	-6.1	0.0201298	68.3585	546.8
8	41	19	30	8.564	-6.88	0.0201193	69.463	594.881
9	42	20	31	9.176	-6.49	0.0201109	69.4117	636.922
10	43	21	32	9.594	-6.94	0.0201056	69.3217	665.072
11	44	22	33	9.795	-7.42	0.0201024	69.7737	683.434
12	45	23	34	10.178	-7.58	0.0200976	71.3648	726.351
13	46	24	35	10.328	-7.55	0.0200959	73.1446	755.437
14	47	25	36	10.488	-9.27	0.0200952	73.0836	766.501
15	48	26	37	10.49	-8.31	0.0200942	72.2585	757.992
16	49	27	38	10.575	-8.54	0.0200935	71.6942	758.167
17	50	28	39	10.43	-8.35	0.0200952	72.1634	752.664
1	37	13	25	5.826	-7.88	0.0201819	70.8335	412.676
2	38	14	26	6.114	-7.24	0.0201728	72.4737	443.104
3	39	15	27	6.397	-7.13	0.0201631	73.3444	469.184
4	40	16	28	6.859	-6.68	0.0201511	73.7989	506.187
5	41	17	29	7.516	-5.84	0.0201376	74.0661	556.681
6	42	18	30	8.114	-5.75	0.0201256	75.1726	609.951
7	43	19	31	8.546	-6.29	0.0201196	76.3316	652.33
8	44	20	32	8.98	-7.15	0.0201132	76.817	689.817
9	45	21	33	9.376	-7.22	0.0201076	76.5473	717.707
10	46	22	34	9.687	-7.11	0.0201033	76.978	745.686
11	47	23	35	9.937	-8.75	0.0201002	78.6061	781.109
12	48	24	36	10.157	-8.76	0.0200983	79.7662	810.185
13	49	25	37	10.158	-8.73	0.0200974	79.9184	811.811
14	50	26	38	10.048	-8.7	0.0200984	79.553	799.348
1	40	14	27	5.928	-6.62	0.0201778	78.5812	465.829
2	41	15	28	6.418	-6.78	0.0201625	79.3862	509.501
3	42	16	29	7.013	-6.05	0.0201494	80.5104	564.62
4	43	17	30	7.58	-6.59	0.0201356	81.4727	617.563
5	44	18	31	8.15	-6.49	0.0201253	81.9555	667.937
6	45	19	32	8.548	-7.03	0.0201185	83.5033	713.786
7	46	20	33	8.805	-6.31	0.0201146	84.4397	743.492
8	47	21	34	9.207	-8.39	0.0201093	83.6869	770.505
9	48	22	35	9.472	-7.67	0.0201055	83.9536	795.209
10	49	23	36	9.771	-8.39	0.0201028	85.6294	836.685
11	50	24	37	9.749	-8.47	0.0201016	86.9052	847.239
1	43	15	29	6.672	-6.5	0.0201573	85.4045	569.819
2	44	16	30	7.17	-6.38	0.0201442	87.2706	625.73
3	45	17	31	7.681	-6.93	0.0201334	88.3975	678.981
4	46	18	32	8.061	-7.09	0.0201265	90.0988	726.286
5	47	19	33	8.394	-7.89	0.020121	91.1891	765.441
6	48	20	34	8.78	-8.05	0.0201145	91.0288	799.233
7	49	21	35	8.997	-7.68	0.020111	91.066	819.321
8	50	22	36	9.189	-7.97	0.0201096	91.6434	842.111
1	46	16	31	7.314	-7.1	0.0201408	93.836	686.316
2	47	17	32	7.641	-7.76	0.0201346	95.9855	733.425
3	48	18	33	7.939	-7.02	0.0201282	97.6183	774.992
4	49	19	34	8.258	-7.93	0.0201221	98.8503	816.306
5	50	20	35	8.52	-7.01	0.0201176	99.2567	845.667
1	49	17	33	7.552	-6.92	0.0201348	103.16	779.063
2	50	18	34	7.807	-11.13	0.0201299	105.482	823.495
